epoch,step,train_loss_epoch,train_loss_step
0,49,,114.71082305908203
0,99,,117.90348052978516
0,149,,121.42203521728516
0,199,,104.14623260498047
0,249,,97.36969757080078
0,274,107.24633026123047,
1,299,,100.93212127685547
1,349,,94.88922119140625
1,399,,91.30199432373047
1,449,,90.88591003417969
1,499,,92.43487548828125
1,549,,73.12454223632812
1,549,96.1874771118164,
2,599,,68.8548355102539
2,649,,75.5380859375
2,699,,82.94892883300781
2,749,,64.29956817626953
2,799,,60.42185592651367
2,824,78.47773742675781,
3,849,,54.80105972290039
3,899,,74.5735855102539
3,949,,63.14912796020508
3,999,,56.844303131103516
3,1049,,54.05439758300781
3,1099,,52.369544982910156
3,1099,58.77428436279297,
4,1149,,40.80748748779297
4,1199,,44.4782829284668
4,1249,,36.70008850097656
4,1299,,38.01668930053711
4,1349,,37.60627746582031
4,1374,43.83048629760742,
